거래번호,품목명,거래처코드,납기일,수량,거래금액,통화,거래상태,담당자
EC-2025-0001,SikaTop 107 Plus 500bag,SP-002,2025-03-15,500,22500,USD,납품완료,Ahmed
EC-2025-0002,Sikadur 31 Normal 200kit,SP-002,2025-04-01,200,5700,USD,납품완료,Ahmed
EC-2025-0003,ViscoCrete 5-600 100pail,SP-002,2025-05-20,100,7800,USD,납품완료,Park
EC-2025-0004,SikaGrout 212 300bag,SP-001,2025-06-30,300,9600,USD,납품완료,Ahmed
EC-2025-0005,MonoTop 612N 150bag,SP-002,2025-08-15,150,5775,USD,발주확정,Park
EC-2025-0006,Sikaplan WP 1100-20 50roll,SP-001,2025-09-01,50,9250,USD,조달중,Ahmed
EC-2025-0007,Sikaflex 11 FC+ 1000ea,SP-003,2025-10-30,1000,12800,USD,검토중,Kang
EC-2025-0008,SikaTop Seal 107 200bag,SP-002,2026-01-15,200,8400,USD,발주확정,Ahmed
EC-2025-0009,Igolflex N 80pail,SP-001,2026-02-28,80,7600,USD,견적발송,Park
EC-2025-0010,ViscoCrete 5-600 50pail,SP-002,2026-03-31,50,3900,USD,견적요청,Ahmed
